combination,model,k_cross_val,max_authors,model_params,accuracy
0,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8356936518001832
0,k_neighbors,9,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8652777777777777
0,k_neighbors,9,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.9118518518518517
0,k_neighbors,5,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.7835
0,k_neighbors,5,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.82
0,k_neighbors,5,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8533333333333335
0,k_neighbors,2,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.6546875000000001
0,k_neighbors,2,800,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.68375
0,k_neighbors,2,150,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.77
0,svm,9,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.8463326992179243
0,svm,9,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.8705555555555556
0,svm,9,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.9162962962962963
0,svm,5,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.79475
0,svm,5,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.83125
0,svm,5,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.8626666666666667
0,svm,2,1600,"{'C': 100, 'output_layer': 'output_embedding'}",0.655
0,svm,2,800,"{'C': 100, 'output_layer': 'output_embedding'}",0.684375
0,svm,2,150,"{'C': 100, 'output_layer': 'output_embedding'}",0.7733333333333333
